CODI_PROGRAMA,CODI_EXPEDIENT,SEXE,CP_FAMILIAR,ANY_ACCES,TIPUS_ACCES,VIA_ACCES,NOTA_ACCES,CENTRE_SECUNDARIA,CP_CENTRE_SEC
752,230661,D,08328,2010,1,0,10.05,SANT PAU,08034
752,230310,H,08390,2010,1,0,12.336,"MIREIA,C.E.",08390
752,229174,H,07013,2010,1,0,10.386,,
752,228108,H,17310,2010,1,0,10.294,IMMACULADA CONCEPCIó-LLORET,17310
752,226494,H,08005,2010,1,0,11.028,INST.ICÀRIA,08005
752,228260,H,08401,2010,1,0,10.47,JARDÍ,08401
752,228315,D,08029,2010,1,0,12.074,INST.LES CORTS,08028
752,229989,H,08017,2009,1,0,6.6,ESC.PROF.SALESIANA,08017
752,228439,H,08700,2010,1,0,10.694,INST.PERE VIVES VICH,08700
752,229037,H,99999,2010,1,0,10.255,,
752,228188,D,08818,2010,1,0,10.556,INST.CAN PUIG,08810
752,228204,H,08970,2010,1,0,9.938,INST.SANT JUST DESVERN,08960
752,227829,D,08820,2010,1,0,11.108,"PINEDA, CENTRE CULTURAL",08902
752,227909,H,08140,2010,1,0,11.15,ESCOLA PIA DE CALDES DE MONTB.,08140
752,227008,H,08025,2010,1,0,10.44,INST.JAUME BALMES,08009
752,228474,H,08105,2010,1,0,11.538,"SANT GERVASI, ESCOLA",08100
752,228229,H,08350,2010,1,0,12.494,INST.ELS TRES TURONS,08350
752,229400,D,12500,2010,1,0,11.9,,
752,229406,H,08024,2008,1,0,8.17,SANT JOSEP - TERESIANES,08025
752,227301,H,08320,2010,1,0,10.62,SANT IGNASI- SARRIÀ,08017
752,227307,H,08007,2010,1,0,11.522,JESUS I MARIA - SANT GERVASI,08022
752,227854,H,08195,2010,1,0,11.924,VIARÓ,08173
752,226818,H,08011,2010,1,0,12.65,IPSE,08036
752,227045,H,08901,2010,1,0,10.334,TECLA SALA,08901
752,228300,H,08025,2010,1,0,11.302,JESUÏTES GRÀCIA-KOSTKA,08024
752,228302,H,08024,2010,1,0,10.596,JESUÏTES GRÀCIA-KOSTKA,08024
752,226980,D,08018,2010,1,0,10.551,,
752,228017,H,08172,2010,1,0,10.456,INST.LEONARDO DA VINCI,08174
752,228018,H,08860,2010,1,0,11.586,BON SOLEIL,08850
752,229918,H,08338,2009,1,0,7.76,INST.VALERIA PUJOL I BOSCH,08338
752,229368,H,08172,2010,1,0,11.154,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,229380,H,07002,2010,1,0,10.004,,
752,228418,H,08820,2010,1,0,9.994,"ISABEL DE VILLENA, ESCOLA",08950
752,226679,H,08261,2010,1,0,10.446,INST.SANT RAMON,08261
752,228504,H,43700,2010,1,0,9.936,INST.BAIX PENEDÈS,43700
752,227659,H,08025,2010,1,0,11.004,INSTITUCIO CULTURAL DEL CIC,08021
752,228637,H,08027,2010,1,0,11.024,"JESÚS, MARIA I JOSEP",08030
752,227766,H,08202,2010,1,0,11.96,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,227725,H,08202,2010,1,0,11.422,INST.PAU VILA,08205
752,226620,H,08022,2010,1,0,10.119,,
752,227746,H,08029,2010,1,0,11.76,ESCOLA PIA DE SARRIA,08017
752,227665,H,08015,2010,1,0,10.172,INSTITUCIO CULTURAL DEL CIC,08021
752,227459,H,08901,2010,1,0,9.782,INST.MERCÈ RODOREDA,08907
752,229457,H,08013,2010,1,0,10.634,MARISTES LA IMMACULADA,08009
752,227637,D,08022,2010,1,0,12.466,SANT GREGORI,08035
752,228600,H,08005,2010,1,0,10.738,SANT PETER'S SCHOOL,08034
752,226738,H,08036,2010,1,0,10.432,VIARÓ,08173
752,226868,H,08350,2008,1,0,7.61,INST.ELS TRES TURONS,08350
752,232879,D,17003,2010,1,0,10.882,MONTESSORI-PALAU,17003
752,229759,H,08025,2010,1,0,9.842,VEDRUNA-GRÀCIA,08012
752,227095,H,08960,2010,1,0,10.654,BETÀNIA-PATMOS,08034
752,227096,H,08009,2010,1,0,12.13,BETÀNIA-PATMOS,08034
752,243256,D,08002,2011,1,0,10.132,,
752,243262,H,28001,2011,1,0,12.461,,
752,227121,H,08017,2010,1,0,11.532,INSTITUCIO CULTURAL DEL CIC,08021
752,243358,D,12580,2011,1,0,12.838,,
752,245316,H,08032,2011,1,0,11.19,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
752,243766,H,07015,2011,1,0,10.662,,
752,246328,H,08107,2011,1,0,11.408,"GRESOL,C.E.",08220
752,245110,H,08025,2011,1,0,11.814,VEDRUNA-GRÀCIA,08012
752,245710,H,08980,2011,1,0,10.598,ESC.PROF.SALESIANA,08017
752,245729,H,08025,2011,1,0,10.68,LA SALLE BONANOVA,08022
752,244226,H,08005,2011,1,0,10.036,IPSI(INST.PEDAG. SANT ISIDOR),08029
752,243658,H,08017,2011,1,0,10,SANT IGNASI- SARRIÀ,08017
752,244575,D,08756,2011,1,0,11.648,INST.CORBERA DE LLOBREGAT,08757
752,243572,H,08023,2011,1,0,10.58,JESUS I MARIA - SANT GERVASI,08022
752,243576,D,12580,2011,1,0,10.61,,
752,243584,D,AD700,2011,1,0,11.13,,
752,245737,D,08009,2011,1,0,11.118,INST.JAUME BALMES,08009
752,243759,D,20002,2011,1,0,12.472,,
752,245174,H,08017,2011,1,0,12.938,CASA DEL ROURE,08017
752,246391,D,08784,2011,1,0,11.16,SANT JOSEP - SANT SADURNI,08770
752,245832,H,08028,2011,1,0,10.974,ESC.PROF.SALESIANA,08017
752,243536,H,07410,2011,1,0,10.57,,
752,232295,H,08860,2009,1,0,7.01,LA GINESTA,08860
752,246673,H,07181,2011,1,0,10.712,,
752,243899,H,43002,2011,1,0,11.396,MARE DÉU DEL CARME-TARRAGONA,43002
752,247265,H,08028,2010,1,0,10.192,XALOC,08902
752,245017,D,25001,2011,1,0,12.986,INST.MARIUS TORRES,25002
752,243956,H,17310,2011,1,0,10.208,INST.RAMON COLL I RODÉS,17310
752,243413,H,08028,2010,1,0,8.584,,
752,231853,D,08034,2010,1,0,10.136,SAGRAT COR-SARRIÀ,08034
752,245372,H,08022,2011,1,0,11.508,SANTA TERESA - GANDUXER,08022
752,245649,D,08017,2011,1,0,12.208,SANTA TERESA - GANDUXER,08022
752,245663,H,08901,2011,1,0,9.818,JOAN PELEGRÍ,08014
752,243436,H,08029,2011,1,0,9.722,SANTA TERESA DE LISIEUX,08029
752,244531,H,17111,2011,1,0,11.648,MONTESSORI-PALAU,17003
752,244533,H,08397,2011,1,0,11.298,MONTESSORI-PALAU,17003
752,246095,H,08202,2011,1,0,10.8,SANT IGNASI- SARRIÀ,08017
752,246098,H,08038,2011,1,0,11.55,INST.LES CORTS,08028
752,243999,H,17480,2011,1,0,10.568,INST.ILLA DE RODES,17480
752,246132,H,08017,2011,1,0,11.89,INST.LES CORTS,08028
752,244892,H,08911,2011,1,0,11.87,"BADALONÈS, COL.LEGI",08912
752,246151,H,08820,2011,1,0,9.864,INST.BALDIRI GUILERA,08820
752,245590,D,08023,2011,1,0,12.804,JESUS I MARIA - SANT GERVASI,08022
752,245591,H,08840,2011,1,0,10.294,ESCOLA PIA DE NOSTRA SENYORA,08007
752,244708,H,08041,2011,1,0,11.524,LESTONNAC - BARCELONA,08009
752,245402,H,08034,2011,1,0,12.204,BETÀNIA-PATMOS,08034
752,245404,H,08015,2011,1,0,11.156,SANT MIQUEL,08036
752,243929,D,AD400,2011,1,0,11.37,,
752,245607,H,08017,2011,1,0,10.756,SANT GREGORI,08035
752,245624,H,08012,2011,1,0,11.33,"SUNION, INST.CULTURAL CATALANA",08023
752,244905,D,08380,2011,1,0,11.048,INST.RAMON TURRO I DARDER,08380
752,244074,H,08023,2011,1,0,10.704,INST.FORT PIUS,08013
752,247076,D,00000,2011,1,0,10.071,,
