CODI_PROGRAMA,CODI_EXPEDIENT,CODI_UPC_UD,CREDITS,CURS,QUAD,SUPERA,NOTA_PROF,NOTA_NUM_AVAL,NOTA_NUM_DEF,GRUP_CLASSE
753,230399,240011,6,2010,1,S,,,,CONV
752,229928,240015,6,2010,1,S,,,,CONV
752,229036,240013,6,2010,1,S,,,,CONV
752,232924,240014,6,2010,1,S,,,,CONV
753,232121,240214,6,2010,1,S,,,,CONV
752,232295,240014,6,2010,1,S,6.5,6.5,6.5,CONV
752,227332,240025,7.5,2010,2,S,7.7,7.7,7.7,51
752,230686,240025,7.5,2010,2,S,8.8,8.8,8.8,51
752,232356,240025,7.5,2010,2,S,5.7,5.7,5.7,51
752,227742,240025,7.5,2010,2,N,3.7,3.7,3.7,42
752,228884,240025,7.5,2010,2,S,5.4,5.4,5.4,42
752,227522,240025,7.5,2010,2,N,0.4,0.4,0.4,42
752,232094,240025,7.5,2010,2,S,8,8,8,42
752,226888,240025,7.5,2010,2,S,6.9,6.9,6.9,43
752,226793,240025,7.5,2010,2,N,0.6,0.6,0.6,43
752,229180,240025,7.5,2010,2,N,0,0,0,43
752,227908,240025,7.5,2010,2,N,2.6,2.6,2.6,43
752,228695,240025,7.5,2010,2,N,1.4,1.4,1.4,43
752,230149,240013,6,2010,2,S,,,,CONV
752,239833,240025,7.5,2010,2,N,1.4,1.4,1.4,52
752,239834,240025,7.5,2010,2,S,6.5,6.5,6.5,52
754,230945,240025,7.5,2010,2,S,5.9,5.9,5.9,22
753,228189,240025,7.5,2010,2,N,3.6,3.6,3.6,22
752,228060,240025,7.5,2010,2,N,2.4,2.4,2.4,22
752,226410,240025,7.5,2010,2,S,5.1,5.1,5.1,22
752,227756,240025,7.5,2010,2,S,4.7,4.7,5,22
752,227133,240025,7.5,2010,2,S,8.5,8.5,8.5,22
752,227703,240025,7.5,2010,2,N,2.4,2.4,2.4,23
752,226455,240025,7.5,2010,2,S,5.4,5.4,5.4,33
752,227601,240025,7.5,2010,2,N,2.6,2.6,2.6,33
752,231199,240025,7.5,2010,2,S,5.1,5.1,5.1,13
752,228429,240025,7.5,2010,2,N,0.2,0.2,0.2,33
752,227182,240025,7.5,2010,2,S,6,6,6,41
752,227422,240025,7.5,2010,2,N,0,0,0,41
752,228497,240025,7.5,2010,2,S,4.5,4.5,5,41
752,228324,240025,7.5,2010,2,S,6.7,6.7,6.7,41
752,232343,240025,7.5,2010,2,S,6.7,6.7,6.7,41
752,228436,240025,7.5,2010,2,N,4,4,4,13
752,228454,240025,7.5,2010,2,S,8,8,8,33
754,248552,240025,7.5,2011,1,S,5.2,5.2,5.2,CONV
752,227320,240025,7.5,2010,2,N,0.5,0.5,0.5,12
752,227829,240025,7.5,2010,2,N,0.3,0.3,0.3,13
752,226750,240025,7.5,2010,2,N,0,0,0,11
753,227697,240025,7.5,2010,2,S,5.3,5.3,5.3,11
752,230199,240025,7.5,2010,2,S,9.6,9.6,9.6,11
752,230188,240025,7.5,2010,2,S,6.3,6.3,6.3,11
752,227231,240025,7.5,2010,2,S,9,9,9,11
752,228721,240025,7.5,2010,2,N,0,0,0,12
752,227383,240025,7.5,2010,2,N,4.4,4.4,4.4,12
752,227082,240025,7.5,2010,2,S,6.2,6.2,6.2,23
752,227261,240025,7.5,2010,2,S,6.8,6.8,6.8,23
752,227264,240025,7.5,2010,2,S,7,7,7,23
752,226410,240022,6,2010,2,S,7,7,7,22
752,227659,240022,6,2010,2,S,5,5,5,23
752,232799,240022,6,2010,2,N,3.5,3.5,3.5,53
752,228459,240012,6,2010,2,S,5.9,5.9,5.9,31
753,230138,240012,6,2010,2,N,0,0,0,31
752,227338,240022,6,2010,2,S,7.9,7.9,7.9,52
752,227128,240022,6,2010,2,S,5.3,5.3,5.3,52
752,228745,240022,6,2010,2,S,6.8,6.8,6.8,52
752,229989,240022,6,2010,2,S,6.7,6.7,6.7,52
752,228736,240025,7.5,2010,2,S,8.1,8.1,8.1,52
752,226684,240025,7.5,2010,2,N,1,1,1,52
752,232772,240012,6,2010,2,S,5.2,5.2,5.2,32
752,228474,240022,6,2010,2,S,6.5,6.5,6.5,33
752,227520,240022,6,2010,2,S,5.1,5.1,5.1,41
752,228122,240022,6,2010,2,S,5,5,5,42
752,233204,240022,6,2010,2,N,3.7,3.7,3.7,42
753,230139,240022,6,2010,2,S,7.4,7.4,7.4,42
752,228951,240022,6,2010,2,N,3.7,3.7,3.7,43
753,232502,240022,6,2010,2,N,3.3,3.3,3.3,43
753,227809,240022,6,2010,2,N,3.6,3.6,3.6,43
754,231032,240022,6,2010,2,S,5,5,5,43
752,230833,240022,6,2010,2,N,4.7,4.7,4.7,43
752,228884,240022,6,2010,2,N,2.4,2.4,2.4,43
752,228045,240022,6,2010,2,S,6.7,6.7,6.7,51
752,230686,240022,6,2010,2,S,7.7,7.7,7.7,51
752,230992,240022,6,2010,2,S,4,4,5,51
752,226889,240025,7.5,2010,2,S,6,6,6,52
752,227284,240025,7.5,2010,2,S,6,6,6,52
752,227728,240025,7.5,2010,2,S,7.8,7.8,7.8,52
752,227290,240022,6,2010,2,S,7.1,7.1,7.1,41
754,232866,240011,6,2010,2,N,0,0,0,22
752,227908,240011,6,2010,2,N,3.2,3.2,3.2,22
753,231810,240011,6,2010,2,N,0,0,0,22
754,227488,240011,6,2010,2,S,4.6,4.6,5,31
753,227444,240011,6,2010,2,S,5.3,5.3,5.3,31
754,231155,240011,6,2010,2,S,7,7,7,31
752,228100,240012,6,2010,2,N,0,0,0,21
753,231333,240012,6,2010,2,N,0,0,0,21
754,232820,240012,6,2010,2,N,3.9,3.9,3.9,21
752,232799,240011,6,2010,2,N,2.6,2.6,2.6,21
753,230679,240011,6,2010,2,S,4.5,4.5,5,22
752,227855,240025,7.5,2010,2,S,5.9,5.9,5.9,31
752,227064,240025,7.5,2010,2,S,6.8,6.8,6.8,32
752,230248,240025,7.5,2010,2,S,5.6,5.6,5.6,32
752,227096,240025,7.5,2010,2,S,6.8,6.8,6.8,32
752,227087,240025,7.5,2010,2,S,7.1,7.1,7.1,32
752,230666,240025,7.5,2010,2,S,6,6,6,32
752,228382,240012,6,2010,2,N,4.4,4.4,4.4,11
752,227236,240012,6,2010,2,N,1.5,1.5,1.5,11
752,229262,240012,6,2010,2,S,5,5,5,11
752,227979,240012,6,2010,2,N,4.6,4.6,4.6,11
752,227320,240012,6,2010,2,N,4,4,4,11
752,226888,240012,6,2010,2,N,4.5,4.5,4.5,12
752,228704,240012,6,2010,2,S,5.4,5.4,5.4,12
752,231325,240012,6,2010,2,S,5.2,5.2,5.2,12
752,230939,240025,7.5,2010,2,N,3.7,3.7,3.7,23
752,228631,240011,6,2010,2,S,5,5,5,12
753,226582,240022,6,2010,2,S,7.8,7.8,7.8,21
752,232879,240022,6,2010,2,S,7.4,7.4,7.4,22
753,228178,240022,6,2010,2,S,6.2,6.2,6.2,21
753,231029,240022,6,2010,2,S,6.1,6.1,6.1,21
752,228601,240022,6,2010,2,S,7.2,7.2,7.2,21
753,232502,240011,6,2010,2,N,3.4,3.4,3.4,12
754,230763,240011,6,2010,2,N,0,0,0,12
752,229370,240011,6,2010,2,S,8,8,8,12
752,229248,240022,6,2010,2,S,5.1,5.1,5.1,12
752,226648,240022,6,2010,2,S,5.4,5.4,5.4,12
752,227307,240022,6,2010,2,S,5.1,5.1,5.1,12
752,228432,240022,6,2010,2,S,6.8,6.8,6.8,13
752,228355,240022,6,2010,2,S,7.7,7.7,7.7,32
753,227002,240012,6,2010,2,N,4.4,4.4,4.4,32
752,239847,240011,6,2010,2,S,4,4,5,11
752,228556,240011,6,2010,2,N,3.4,3.4,3.4,11
752,227231,240011,6,2010,2,N,4.3,4.3,4.3,32
752,228721,240022,6,2010,2,N,0,0,0,12
753,230138,240011,6,2010,2,N,0,0,0,31
752,226464,240011,6,2010,2,S,5,5,5,32
752,228637,240022,6,2010,2,S,6.4,6.4,6.4,11
752,227231,240022,6,2010,2,N,4,4,4,11
753,231678,240022,6,2010,2,N,0,0,0,11
752,229635,240022,6,2010,2,S,6.8,6.8,6.8,12
752,227034,240022,6,2010,2,S,7,7,7,31
752,227766,240022,6,2010,2,S,5.4,5.4,5.4,31
752,228454,240022,6,2010,2,S,7.3,7.3,7.3,32
752,228571,240022,6,2010,2,S,5.5,5.5,5.5,32
752,227584,240022,6,2010,2,S,8.1,8.1,8.1,32
752,228615,240022,6,2010,2,S,8.8,8.8,8.8,23
752,227296,240022,6,2010,2,S,7,7,7,23
752,228628,240022,6,2010,2,S,5.6,5.6,5.6,31
752,227958,240022,6,2010,2,S,6.5,6.5,6.5,31
752,230520,240011,6,2010,2,S,6.2,6.2,6.2,
752,239838,240012,6,2010,2,S,4.5,4.5,5,
752,227299,240022,6,2010,2,S,6.2,6.2,6.2,
754,231077,240013,6,2010,2,N,0.9,0.9,0.9,30
752,228432,240013,6,2010,2,N,4.5,4.5,4.5,30
752,231418,240014,6,2010,2,S,7.3,7.3,7.3,11
752,228260,240014,6,2010,2,S,5,5,5,11
752,232234,240014,6,2010,2,S,8.3,8.3,8.3,11
752,232343,240014,6,2010,2,S,6.9,6.9,6.9,11
752,227791,240013,6,2010,2,S,5.2,5.2,5.2,30
752,232679,240013,6,2010,2,S,5.2,5.2,5.2,30
752,230210,240013,6,2010,2,S,6.1,6.1,6.1,30
752,227091,240024,4.5,2010,2,S,5.7,5.7,5.7,11
752,227828,240024,4.5,2010,2,S,5.8,5.8,5.8,12
752,227791,240024,4.5,2010,2,S,5.6,5.6,5.6,12
752,231048,240024,4.5,2010,2,S,5,5,5,12
752,239847,240024,4.5,2010,2,S,5.8,5.8,5.8,31
754,233206,240024,4.5,2010,2,N,3.1,3.1,3.1,31
752,227142,240024,4.5,2010,2,S,7.7,7.7,7.7,31
752,228229,240024,4.5,2010,2,S,6.2,6.2,6.2,31
752,232347,240024,4.5,2010,2,N,0.8,0.8,0.8,21
752,226944,240024,4.5,2010,2,S,7.7,7.7,7.7,22
754,231077,240024,4.5,2010,2,S,5,5,5,22
752,227857,240015,6,2010,2,S,5.5,5.5,5.5,11
752,228494,240015,6,2010,2,S,6.1,6.1,6.1,12
754,230763,240015,6,2010,2,N,1.9,1.9,1.9,12
754,230996,240015,6,2010,2,N,1.4,1.4,1.4,12
752,228158,240015,6,2010,2,N,4.5,4.5,4.5,12
752,229925,240024,4.5,2010,2,S,8.3,8.3,8.3,31
752,230268,240024,4.5,2010,2,S,8.4,8.4,8.4,31
752,227601,240024,4.5,2010,2,S,5.3,5.3,5.3,31
752,227355,240023,6,2010,2,S,6.1,6.1,6.1,40
753,230399,240023,6,2010,2,S,4.4,4.4,5,40
752,230521,240015,6,2010,2,N,0.3,0.3,0.3,13
752,226495,240015,6,2010,2,N,3.1,3.1,3.1,13
754,230708,240015,6,2010,2,N,2.9,2.9,2.9,33
752,227735,240015,6,2010,2,S,5,5,5,33
752,232356,240015,6,2010,2,N,3.1,3.1,3.1,33
752,229176,240015,6,2010,2,S,6.7,6.7,6.7,33
752,226798,240015,6,2010,2,S,6.7,6.7,6.7,11
752,227355,240015,6,2010,2,S,5,5,5,11
752,228536,240023,6,2010,2,N,1.5,1.5,1.5,32
752,227953,240023,6,2010,2,S,5,5,5,40
752,228122,240023,6,2010,2,S,5.8,5.8,5.8,40
752,232933,240023,6,2010,2,S,5.1,5.1,5.1,40
752,227620,240023,6,2010,2,N,3.5,3.5,3.5,40
752,232094,240023,6,2010,2,S,6.6,6.6,6.6,40
752,226798,240023,6,2010,2,N,0.2,0.2,0.2,40
752,228848,240023,6,2010,2,S,5.7,5.7,5.7,40
752,228260,240023,6,2010,2,S,6.6,6.6,6.6,40
752,233142,240023,6,2010,2,S,4.3,4.3,5,40
754,231032,240023,6,2010,2,S,5.6,5.6,5.6,40
752,232235,240023,6,2010,2,S,5.8,5.8,5.8,40
752,228100,240015,6,2010,2,N,0,0,0,23
753,231375,240015,6,2010,2,N,1,1,1,23
752,230313,240015,6,2010,2,S,5,5,5,23
753,228658,240021,6,2010,2,S,6.2,6.2,6.2,22
752,229108,240023,6,2010,2,S,8.1,8.1,8.1,32
752,226455,240023,6,2010,2,S,8.1,8.1,8.1,32
752,229754,240023,6,2010,2,S,7.1,7.1,7.1,32
752,229451,240023,6,2010,2,N,3.6,3.6,3.6,32
752,227092,240021,6,2010,2,S,8.1,8.1,8.1,13
752,229928,240021,6,2010,2,S,7.3,7.3,7.3,13
752,228708,240021,6,2010,2,N,4,4,4,13
752,227641,240021,6,2010,2,N,4.5,4.5,4.5,13
752,228459,240021,6,2010,2,S,5.2,5.2,5.2,13
752,227838,240021,6,2010,2,N,3.2,3.2,3.2,13
752,227200,240021,6,2010,2,S,5.6,5.6,5.6,21
753,226421,240021,6,2010,2,S,5.5,5.5,5.5,21
753,228144,240021,6,2010,2,S,5.9,5.9,5.9,21
752,230772,240023,6,2010,2,N,3.5,3.5,3.5,50
752,226499,240023,6,2010,2,S,5.3,5.3,5.3,50
752,228745,240023,6,2010,2,S,7.1,7.1,7.1,50
752,226495,240023,6,2010,2,S,5,5,5,50
752,226877,240023,6,2010,2,S,5,5,5,50
752,232799,240023,6,2010,2,N,1.4,1.4,1.4,50
752,227284,240023,6,2010,2,N,4.6,4.6,4.6,50
752,228162,240021,6,2010,2,S,6.2,6.2,6.2,12
752,239835,240023,6,2010,2,S,4.6,4.6,5,50
752,230520,240023,6,2010,2,S,6.1,6.1,6.1,50
752,232124,240023,6,2010,2,N,2,2,2,50
752,227746,240023,6,2010,2,N,4.6,4.6,4.6,50
752,226635,240021,6,2010,2,S,6.3,6.3,6.3,11
752,228815,240021,6,2010,2,S,7,7,7,11
752,230843,240021,6,2010,2,S,6.1,6.1,6.1,12
752,228049,240021,6,2010,2,N,3.5,3.5,3.5,12
752,227121,240021,6,2010,2,S,6.2,6.2,6.2,12
752,229146,240021,6,2010,2,S,5.2,5.2,5.2,12
752,227878,240021,6,2010,2,S,6.1,6.1,6.1,12
752,228027,240021,6,2010,2,N,4.5,4.5,4.5,12
752,227707,240023,6,2010,2,S,5.8,5.8,5.8,40
752,227406,240023,6,2010,2,N,4.8,4.8,4.8,40
752,230188,240021,6,2010,2,S,5,5,5,11
752,227639,240021,6,2010,2,S,7,7,7,11
752,227304,240021,6,2010,2,S,5,5,5,11
752,228091,240021,6,2010,2,S,7,7,7,12
752,228418,240013,6,2010,2,N,4.8,4.8,4.8,30
752,229759,240013,6,2010,2,S,5.1,5.1,5.1,30
752,239845,240014,6,2010,2,S,5,5,5,11
752,227008,240021,6,2010,2,S,6.2,6.2,6.2,21
752,229857,240021,6,2010,2,S,8.2,8.2,8.2,21
753,228517,240021,6,2010,2,N,4.5,4.5,4.5,21
753,231029,240021,6,2010,2,S,6.2,6.2,6.2,21
752,227757,240021,6,2010,2,N,4.6,4.6,4.6,22
753,227593,240214,6,2010,2,S,5.4,5.4,5.4,22
752,230520,240014,6,2010,2,S,5.3,5.3,5.3,
753,226999,240224,4.5,2010,2,N,4.4,4.4,4.4,43
753,230399,240224,4.5,2010,2,S,6.7,6.7,6.7,43
752,227260,240023,6,2010,2,S,5.3,5.3,5.3,11
752,230829,240012,6,2010,1,N,2.1,2.1,2.1,63
752,231417,240012,6,2010,1,N,2.2,2.2,2.2,63
752,230933,240012,6,2010,1,S,6.4,6.4,6.4,71
752,229949,240012,6,2010,1,N,3,3,3,62
753,230998,240012,6,2010,1,N,4,4,4,62
753,231810,240012,6,2010,1,N,0.3,0.3,0.3,62
753,232121,240023,6,2010,2,N,0.9,0.9,0.9,21
753,228178,240023,6,2010,2,S,5.7,5.7,5.7,21
752,227012,240023,6,2010,2,S,5.4,5.4,5.4,21
752,226944,240023,6,2010,2,S,5.5,5.5,5.5,22
752,228122,240011,6,2010,1,S,5,5,5,63
752,228204,240011,6,2010,1,S,5.3,5.3,5.3,63
753,247420,240214,6,2011,1,S,7.9,7.9,7.9,CONV
752,232054,240011,6,2010,1,S,7,7,7,63
752,232335,240011,6,2010,1,S,5.4,5.4,5.4,63
752,229036,240011,6,2010,1,S,8.3,8.3,8.3,71
752,230310,240012,6,2010,1,S,7,7,7,22
752,227351,240012,6,2010,1,S,7,7,7,23
752,229911,240024,4.5,2010,2,N,0.1,0.1,0.1,42
752,227057,240024,4.5,2010,2,S,5.4,5.4,5.4,13
752,229928,240024,4.5,2010,2,S,7.8,7.8,7.8,13
752,227947,240024,4.5,2010,2,S,8.3,8.3,8.3,13
752,228027,240024,4.5,2010,2,N,4.5,4.5,4.5,13
752,227871,240024,4.5,2010,2,S,6.1,6.1,6.1,23
752,227908,240024,4.5,2010,2,N,3.1,3.1,3.1,23
753,226582,240214,6,2010,1,S,8.5,8.5,8.5,51
753,227389,240214,6,2010,1,S,8.1,8.1,8.1,51
753,227444,240214,6,2010,1,S,7,7,7,51
753,227585,240214,6,2010,1,N,4.4,4.4,4.4,51
754,232460,240012,6,2010,1,N,4.1,4.1,4.1,23
752,227128,240015,6,2010,2,S,5,5,5,21
753,229043,240015,6,2010,2,N,1.6,1.6,1.6,31
752,228958,240015,6,2010,2,S,6.4,6.4,6.4,31
752,227887,240015,6,2010,2,S,6.7,6.7,6.7,31
752,228563,240015,6,2010,2,N,3.5,3.5,3.5,31
752,226515,240024,4.5,2010,2,S,8,8,8,33
752,232347,240012,6,2010,1,S,5.4,5.4,5.4,21
752,226467,240015,6,2010,2,S,5.3,5.3,5.3,12
752,239833,240015,6,2010,2,N,0,0,0,22
752,227045,240015,6,2010,2,N,0,0,0,22
752,228660,240015,6,2010,2,N,4.4,4.4,4.4,22
752,227284,240024,4.5,2010,2,S,6.6,6.6,6.6,51
752,227856,240024,4.5,2010,2,N,4.2,4.2,4.2,52
753,227593,240224,4.5,2010,2,N,3.9,3.9,3.9,43
753,227585,240012,6,2010,1,N,3.7,3.7,3.7,52
752,228060,240012,6,2010,1,S,7.7,7.7,7.7,52
752,230006,240012,6,2010,1,S,7.2,7.2,7.2,52
752,228245,240015,6,2010,2,S,5.1,5.1,5.1,21
752,232933,240015,6,2010,2,S,5.3,5.3,5.3,32
754,233206,240015,6,2010,2,N,3.3,3.3,3.3,32
752,227021,240015,6,2010,2,N,3.3,3.3,3.3,32
752,228432,240015,6,2010,2,S,5.6,5.6,5.6,32
752,227307,240015,6,2010,2,S,5.7,5.7,5.7,32
752,227326,240024,4.5,2010,2,S,5,5,5,51
752,232799,240024,4.5,2010,2,N,0.7,0.7,0.7,52
752,228556,240012,6,2010,1,N,3,3,3,43
752,232499,240012,6,2010,1,S,7.7,7.7,7.7,43
753,227389,240012,6,2010,1,S,5.5,5.5,5.5,51
753,227444,240012,6,2010,1,N,4.4,4.4,4.4,51
753,228340,240012,6,2010,1,S,5.2,5.2,5.2,51
753,229756,240012,6,2010,1,S,8.2,8.2,8.2,51
752,227032,240012,6,2010,1,S,5.9,5.9,5.9,42
752,227947,240012,6,2010,1,S,5.8,5.8,5.8,42
752,232094,240012,6,2010,1,S,6.4,6.4,6.4,42
752,226495,240012,6,2010,1,S,5.1,5.1,5.1,43
752,227236,240012,6,2010,1,N,1.5,1.5,1.5,52
753,232918,240224,4.5,2010,2,N,4.2,4.2,4.2,24
753,228610,240224,4.5,2010,2,N,4.5,4.5,4.5,24
753,228144,240224,4.5,2010,2,S,7.5,7.5,7.5,24
753,227691,240224,4.5,2010,2,S,6.3,6.3,6.3,24
753,228517,240224,4.5,2010,2,S,5,5,5,24
753,227667,240224,4.5,2010,2,N,4.3,4.3,4.3,24
752,228600,240023,6,2010,2,N,4.6,4.6,4.6,11
752,228367,240023,6,2010,2,N,3.2,3.2,3.2,11
752,227298,240023,6,2010,2,S,5.3,5.3,5.3,11
752,227327,240023,6,2010,2,S,5,5,5,11
