Access_grade,Calculus I
9.85,5.0
10.64,7.2
10.0,5.2
10.92,5.0
11.69,3.8
11.79,7.9
11.03,6.6
10.47,5.1
10.1,6.6
12.13,6.1
11.94,6.0
10.96,5.5
10.45,6.6
10.45,6.5
12.62,7.6
10.19,6.1
11.19,5.4
10.01,5.0
10.56,2.8
10.43,3.1
10.8,6.5
12.65,9.0
9.84,3.4
11.84,5.5
10.57,6.4
12.13,6.0
10.44,7.4
11.2,5.7
10.31,5.0
11.18,5.0
11.17,5.0
10.91,5.9
12.19,7.6
11.08,7.0
10.52,3.6
10.33,1.0
12.6,8.0
11.33,7.2
10.6,5.5
9.88,5.5
11.01,6.3
11.76,5.0
10.1,6.2
10.79,7.5
12.05,8.1
10.65,7.5
12.13,10.0
10.73,5.0
11.53,5.7
10.62,2.9
10.13,3.9
10.01,6.0
9.89,6.3
10.4,5.9
12.3,8.3
12.12,5.4
10.36,7.0
9.8,5.5
10.42,7.0
10.87,5.1
11.2,7.0
11.38,4.6
10.22,5.3
11.38,5.1
10.69,5.6
11.66,7.2
10.39,6.7
10.05,5.0
9.83,4.1
10.05,4.4
10.2,2.2
9.81,5.3
10.94,6.0
10.52,8.1
11.54,8.5
10.62,5.7
10.46,5.3
10.15,7.8
10.08,6.5
11.52,5.1
12.5,9.0
10.71,3.1
10.55,6.0
10.93,5.2
12.33,7.5
9.79,7.4
11.93,5.7
10.52,7.1
12.24,5.5
12.4,7.0
10.51,6.4
11.5,4.4
12.69,7.0
9.77,5.2
12.09,6.6
10.11,5.4
10.9,5.1
11.0,5.6
10.79,2.0
12.32,7.3
11.48,7.1
10.42,4.5
12.0,7.0
10.06,6.6
10.0,4.2
9.78,4.6
13.13,7.0
9.88,4.3
12.11,6.5
11.76,7.4
9.84,6.0
12.54,6.2
11.3,5.2
10.84,5.4
11.48,7.3
11.53,7.2
10.33,5.7
10.26,4.5
12.62,7.2
11.98,7.9
12.04,8.2
12.46,7.0
10.28,6.0
11.62,5.0
13.06,8.3
10.43,5.0
10.5,5.7
10.01,4.4
