Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
SAGRAT COR-SARRIÀ,Privat,"C. Sagrat Cor, 25",8034,Barcelonès,13,Barcelona,8019
ESCOLA PIA D'IGUALADA,Privat,"Pl. Castells, 10",8700,Anoia,6,Igualada,8102
BETÀNIA-PATMOS,Privat,"Av. Mare de Déu de Lorda, 2-16",8034,Barcelonès,13,Barcelona,8019
"SUNION, INST.CULTURAL CATALANA",Privat,"Av. República Argentina, 85-89",8023,Barcelonès,13,Barcelona,8019
SANT IGNASI- SARRIÀ,Privat,"C. Carrasco i Formiguera, 32",8017,Barcelonès,13,Barcelona,8019
INST.ICÀRIA,Públic,"C. Doctor Trueta, 81",8005,Barcelonès,13,Barcelona,8019
ESCOLA PIA DE NOSTRA SENYORA,Privat,"C. Diputació, 275-277",8007,Barcelonès,13,Barcelona,8019
LA SALLE HORTA,Privat,"C. Doctor Letamendi, 63",8031,Barcelonès,13,Barcelona,8019
INST.BAIX MONTSENY,Públic,"Ctra. de Campins, s/n",8470,Vallès Oriental,41,Sant Celoni,8202
"CERVETO, ESCOLA",Privat,"C. Isabel de Villena, 43-45",8401,Vallès Oriental,508,Granollers,8096
XALOC,Privat,"C. de Can Tries, 4-6",8902,Barcelonès,13,L'Hospitalet de Llobregat,8101
INST.SANT RAMON,Públic,"Pl. de Les Fabricantes, 1",8261,Bages,7,Cardona,8047
CANIGÓ,Privat,"C. Císter, 23",8022,Barcelonès,13,Barcelona,8019
"BADALONÈS, COL.LEGI",Privat,"C. Arbres, 17",8912,Barcelonès,208,Badalona,8015
SAGRADA FAMÍLIA - ARQUIMIDES,Privat,"C. Arquímedes, 60-68",8030,Barcelonès,13,Barcelona,8019
VIARÓ,Privat,"Av. Alcalde Barnils, s/n",8190,Vallès Occidental,40,Sant Cugat del Vallès,8205
SAGRADA FAMÍLIA-GAVÀ,Privat,"Rbla.Pompeu Fabra,126-130(Apartat Pl.204",8850,Baix Llobregat,11,Gavà,8089
IPSE,Privat,"C. Casanova, 175",8036,Barcelonès,13,Barcelona,8019
INST.ELS TRES TURONS,Públic,"Ptge. Tres Turons, 1",8350,Maresme,21,Arenys de Mar,8006
CASA DEL ROURE,Privat,"C. Sant Pere  Claver, 12-18",8017,Barcelonès,13,Barcelona,8019
SANT JOSEP OBRER,Privat,"C. Covadonga, s/n",8906,Barcelonès,13,L'Hospitalet de Llobregat,8101
INST.MONTJUÏC,Públic,"C. Cisell, 19",8038,Barcelonès,13,Barcelona,8019
INST.JAUME BALMES,Públic,"C. Pau Claris, 121",8009,Barcelonès,13,Barcelona,8019
ESCOLA PIA DE SARRIA,Privat,"C. Immaculada, 25-35",8017,Barcelonès,13,Barcelona,8019
ESCOLA PIA SANT ANTONI,Privat,"Rda. Sant Pau, 72",8001,Barcelonès,13,Barcelona,8019
TECLA SALA,Privat,"C. Tecla Sala, 18",8901,Barcelonès,13,L'Hospitalet de Llobregat,8101
LA SALLE BONANOVA,Privat,"Pg. de la Bonanova, 8",8022,Barcelonès,13,Barcelona,8019
INST.MANOLO HUGUÉ,Públic,"C. Josep Germà, 2",8140,Vallès Oriental,41,Caldes de Montbui,8033
INST.CELESTÍ BELLERA,Públic,"C. Esteve Terrades, s/n",8402,Vallès Oriental,41,Granollers,8096
INSTITUCIO CULTURAL DEL CIC,Privat,"Via Augusta, 205",8021,Barcelonès,13,Barcelona,8019
CARDENAL SPíNOLA-ABAT OLIBA,Privat,"Av. Mare de Déu de Montserrat, 86",8024,Barcelonès,13,Barcelona,8019
INST.PAU CASALS,Públic,"Av. Lloreda, 16-32",8917,Barcelonès,13,Badalona,8015
INFANT JESÚS,Privat,"C. Avenir, 19",8006,Barcelonès,13,Barcelona,8019
INST.LA LLAUNA,Públic,"C. Sagunto, 5 (edifici la Llauna)",8912,Barcelonès,13,Badalona,8015
CLARET-BARCELONA,Privat,"Av. Sant Antoni Maria Claret, 49",8025,Barcelonès,13,Barcelona,8019
MARISTES CHAMPAGNAT,Privat,"C. Dos de Maig, 67",8912,Barcelonès,13,Badalona,8015
INST.FRANCISCO DE GOYA,Públic,"C. Garriga i Roca, 21",8041,Barcelonès,13,Barcelona,8019
"SANT JOAN BOSCO, COL·LEGI",Privat,"Pg. Vall d'Hebron, 258-260",8035,Barcelonès,13,Barcelona,8019
ESCOLA PIA BALMES,Privat,"C. Balmes, 208",8006,Barcelonès,13,Barcelona,8019
BIENAVENTURADA VIRGEN MARÍA,Privat,"C. Copèrnic, 55-59",8006,Barcelonès,13,Barcelona,8019
