EXPEDIENT_CODE,COURSE_CODE,YEAR,QUARTER,PASS,GRADE,ATTEMPTS
226441,240011,2010,1,N,2.5,2
226441,240011,2010,2,N,3.5,2
226441,240012,2010,1,S,5.0,1
226441,240013,2010,1,N,3.2,2
226441,240013,2010,2,N,4.1,2
226441,240014,2010,1,N,3.8,2
226441,240014,2010,2,N,4.2,2
226441,240015,2010,1,N,2.6,2
226441,240015,2010,2,N,2.4,2
226441,240022,2010,2,N,0.0,1
226441,240023,2010,2,N,3.6,1
226455,240011,2010,1,S,8.1,1
226455,240012,2010,1,S,7.2,1
226455,240013,2010,1,S,5.8,1
226455,240014,2010,1,S,5.0,1
226455,240015,2010,1,S,9.2,1
226455,240021,2010,2,S,6.6,1
226455,240022,2010,2,S,7.3,1
226455,240023,2010,2,S,8.1,1
226455,240024,2010,2,S,8.1,1
226455,240025,2010,2,S,5.4,1
226463,240011,2010,1,N,3.2,3
226463,240011,2010,2,N,4.0,3
226463,240011,2011,2,N,4.0,3
226463,240012,2010,1,S,5.2,1
226463,240013,2010,1,N,2.1,2
226463,240013,2010,2,S,5.0,2
226463,240014,2010,1,N,4.0,4
226463,240014,2010,2,N,4.0,4
226463,240014,2011,1,N,4.0,4
226463,240014,2011,2,S,7.2,4
226463,240015,2010,1,N,1.0,3
226463,240015,2010,2,N,3.3,3
226463,240015,2011,1,S,5.4,3
226463,240021,2011,1,N,2.7,2
226463,240021,2011,2,S,6.1,2
226463,240022,2011,1,S,5.0,1
226463,240023,2011,1,N,1.5,2
226463,240023,2011,2,S,7.0,2
226463,240024,2011,1,N,3.3,2
226463,240024,2011,2,N,4.0,2
226463,240025,2010,2,S,6.7,1
226464,240011,2010,1,N,4.0,2
226464,240011,2010,2,S,5.0,2
226464,240012,2010,1,S,5.0,1
226464,240013,2010,1,N,4.6,2
226464,240013,2011,1,S,7.0,2
226464,240014,2010,1,S,5.4,1
226464,240015,2010,1,S,5.0,1
226464,240021,2010,2,N,4.7,2
226464,240021,2011,1,S,5.3,2
226464,240022,2010,2,S,5.0,1
226464,240023,2010,2,N,4.1,2
226464,240023,2011,1,S,5.1,2
226464,240024,2010,2,S,6.9,1
226464,240025,2010,2,S,7.2,1
226467,240011,2010,1,N,2.9,3
226467,240011,2010,2,N,4.6,3
226467,240011,2011,2,S,7.1,3
226467,240012,2010,1,N,3.8,2
226467,240012,2010,2,S,5.2,2
226467,240013,2010,1,N,4.7,3
226467,240013,2010,2,N,4.7,3
226467,240013,2011,2,S,5.0,3
226467,240014,2010,1,S,5.5,1
226467,240015,2010,1,N,2.1,2
226467,240015,2010,2,S,5.3,2
226467,240021,2011,1,N,2.5,2
226467,240021,2011,2,S,9.0,2
226467,240022,2011,1,N,0.0,2
226467,240022,2011,2,S,7.2,2
226467,240023,2011,1,N,0.8,2
226467,240023,2011,2,S,6.5,2
226467,240024,2010,2,N,1.6,3
226467,240024,2011,1,N,4.7,3
226467,240024,2011,2,S,7.8,3
226467,240025,2010,2,S,5.8,1
226472,240011,2010,1,S,7.8,1
226472,240012,2010,1,S,7.9,1
226472,240013,2010,1,S,5.7,1
226472,240014,2010,1,S,8.0,1
226472,240015,2010,1,N,4.2,2
226472,240015,2010,2,S,5.9,2
226472,240021,2010,2,S,7.3,1
226472,240022,2010,2,S,7.8,1
226472,240023,2010,2,S,6.3,1
226472,240024,2010,2,S,8.0,1
226472,240025,2010,2,S,6.5,1
226494,240011,2010,1,S,5.0,1
226494,240012,2010,1,S,6.6,1
226494,240013,2010,1,S,5.7,1
226494,240014,2010,1,S,6.3,1
226494,240015,2010,1,N,1.0,3
226494,240015,2010,2,N,2.0,3
226494,240015,2011,1,S,7.3,3
226494,240021,2010,2,S,6.5,1
226494,240022,2010,2,S,6.1,1
226494,240023,2010,2,S,6.3,1
226494,240024,2010,2,S,6.2,1
226494,240025,2011,1,S,5.2,1
226495,240011,2010,1,S,6.2,1
226495,240012,2010,1,S,5.1,1
226495,240013,2010,1,S,5.0,1
226495,240014,2010,1,S,5.0,1
226495,240015,2010,1,N,1.4,3
226495,240015,2010,2,N,3.1,3
226495,240015,2011,1,S,7.3,3
226495,240021,2010,2,S,6.1,1
226495,240022,2010,2,S,5.8,1
226495,240023,2010,2,S,5.0,1
226495,240024,2010,2,N,4.3,2
226495,240024,2011,1,S,5.0,2
226495,240025,2010,2,S,5.5,1
226499,240011,2010,1,S,7.3,1
226499,240012,2010,1,S,6.6,1
226499,240013,2010,1,S,5.0,1
226499,240014,2010,1,S,5.6,1
226499,240015,2010,1,S,6.5,1
226499,240021,2010,2,S,7.1,1
226499,240022,2010,2,S,7.1,1
226499,240023,2010,2,S,5.3,1
226499,240024,2010,2,S,8.4,1
226499,240025,2010,2,S,7.0,1
226515,240011,2010,1,S,7.8,1
226515,240012,2010,1,S,6.1,1
226515,240013,2010,1,S,7.4,1
226515,240014,2010,1,S,8.5,1
226515,240015,2010,1,S,7.3,1
226515,240021,2010,2,S,6.3,1
226515,240022,2010,2,S,7.4,1
226515,240023,2010,2,S,7.2,1
226515,240024,2010,2,S,8.0,1
226515,240025,2010,2,S,8.7,1
226543,240011,2010,1,S,7.4,1
226543,240012,2010,1,S,6.0,1
226543,240013,2010,1,S,6.6,1
226543,240014,2010,1,S,6.4,1
226543,240015,2010,1,S,6.9,1
226543,240021,2010,2,N,4.5,2
226543,240021,2011,1,S,7.5,2
226543,240022,2010,2,N,4.6,2
226543,240022,2011,1,S,7.9,2
226543,240023,2010,2,N,4.7,2
226543,240023,2011,1,S,5.6,2
226543,240024,2010,2,S,6.9,1
226543,240025,2010,2,N,3.5,2
226543,240025,2011,1,S,8.3,2
226635,240011,2010,1,S,5.3,1
226635,240012,2010,1,S,5.5,1
226635,240013,2010,1,S,5.0,1
226635,240014,2010,1,S,6.7,1
226635,240015,2010,1,S,5.0,1
226635,240021,2010,2,S,6.3,1
226635,240022,2010,2,S,5.9,1
226635,240023,2010,2,S,5.0,1
226635,240024,2010,2,S,6.6,1
226635,240025,2010,2,S,6.7,1
226648,240011,2010,1,S,5.6,1
226648,240012,2010,1,S,6.6,1
226648,240013,2010,1,S,5.5,1
226648,240014,2010,1,S,5.9,1
226648,240015,2010,1,N,4.3,2
226648,240015,2010,2,S,5.3,2
226648,240021,2010,2,S,5.4,1
226648,240022,2010,2,S,5.4,1
226648,240023,2010,2,N,1.6,3
226648,240023,2011,1,N,2.7,3
226648,240023,2011,2,S,5.0,3
226648,240024,2010,2,S,5.4,1
226648,240025,2010,2,S,5.9,1
226679,240011,2010,1,S,5.5,1
226679,240012,2010,1,S,6.5,1
226679,240013,2010,1,S,6.3,1
226679,240014,2010,1,S,5.7,1
226679,240015,2010,1,S,7.6,1
226679,240021,2010,2,N,4.4,2
226679,240021,2011,1,S,5.0,2
