HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
FREDERIC MISTRAL-TÈCNIC EULÀLI,11.315,5.599,5.754,5.56,5.884,5.186,5.291,4.714,5.088,5.824,5.132,5.348,1.353,6.986,2.677,9.663,5.296,5.284,5.766,5.086,5.739,72.302,52.016,0.746,4.623,17.667,92.167
SANT IGNASI- SARRIÀ,10.75,5.494,5.752,5.205,5.62,4.814,5.082,5.286,5.367,6.03,5.098,5.339,1.436,7.185,2.634,9.82,5.391,5.237,5.738,4.904,5.847,73.284,54.612,0.766,4.676,14.667,89.333
INSTITUCIO CULTURAL DEL CIC,11.041,5.506,5.595,5.318,5.59,5.406,5.313,5.116,5.284,5.594,5.581,5.354,1.27,6.961,2.777,9.738,5.342,5.239,5.447,5.425,5.789,72.926,52.749,0.744,4.636,10.167,92.667
BETÀNIA-PATMOS,10.972,5.778,6.487,5.627,5.894,4.808,5.401,5.282,5.271,5.407,5.007,5.453,1.499,7.114,2.719,9.832,5.697,5.327,5.631,4.877,6.0,75.077,54.606,0.758,4.79,8.667,86.333
VIARÓ,11.502,5.656,5.735,5.761,5.678,5.351,4.962,5.034,5.076,5.813,5.066,5.379,1.389,7.277,2.51,9.787,5.322,5.361,5.622,5.209,5.722,72.44,52.536,0.762,4.608,7.5,93.833
LA SALLE BONANOVA,11.161,5.333,5.528,5.42,5.444,4.837,5.366,5.452,4.853,5.626,5.624,5.215,1.284,6.678,2.9,9.579,5.315,5.048,5.362,5.012,5.699,72.837,51.635,0.718,4.494,7.333,100.833
JESUÏTES CASP-SAGRATCORDEJESÚS,10.929,5.369,5.307,5.612,6.083,5.672,5.649,5.347,5.031,6.431,5.613,5.532,1.328,7.303,2.331,9.634,5.28,5.306,6.165,5.57,5.856,70.844,52.757,0.774,4.889,7.333,81.5
SAGRAT COR-SARRIÀ,11.259,6.028,5.925,5.293,5.792,5.034,5.447,5.326,5.56,6.035,5.391,5.514,1.277,7.8,1.9,9.7,5.614,5.313,5.768,5.095,5.767,68.953,54.7,0.813,4.91,7.167,80.0
SANTA TERESA - GANDUXER,11.285,5.331,5.715,5.652,5.71,5.072,5.581,4.99,5.417,5.787,5.593,5.4,1.371,7.067,2.508,9.574,5.325,5.479,5.706,5.34,5.601,69.584,50.12,0.738,4.573,6.2,84.8
IPSI(INST.PEDAG. SANT ISIDOR),11.292,5.947,5.781,5.627,6.263,5.962,5.314,5.588,5.375,6.167,5.438,5.72,1.356,7.828,2.061,9.889,5.64,5.492,6.184,5.634,6.191,72.883,58.1,0.822,5.254,4.667,74.0
