HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
SAGRAT COR-SARRIÀ,2010,10.738,5.82,6.26,5.56,6.22,3.78,6.875,5.6,5.66,6.825,6.525,5.686,1.188,7.6,1.8,9.4,5.92,5.61,6.22,4.76,5.71,64.8,49.2,0.764,4.925,5,83
SAGRAT COR-SARRIÀ,2011,11.44,6.8,6.967,5.933,5.8,6.467,5.9,6.533,5.233,6.433,5.2,6.127,0.783,10.0,0.0,10.0,6.55,5.583,6.117,5.833,6.096,60.0,60.0,1.0,6.096,3,50
SAGRAT COR-SARRIÀ,2012,11.908,6.989,5.744,5.222,5.733,5.189,4.467,5.167,6.067,6.144,5.311,5.603,1.302,7.889,2.111,10.0,5.592,5.644,5.939,5.25,6.146,74.5,60.0,0.855,5.282,9,72
SAGRAT COR-SARRIÀ,2013,11.51,5.18,5.85,6.12,6.15,5.71,5.42,5.5,4.6,4.34,4.99,5.386,1.182,7.2,2.8,10.0,5.488,5.36,5.245,5.35,6.058,80.1,60.0,0.793,4.809,10,96
SAGRAT COR-SARRIÀ,2014,11.029,5.3,6.127,5.182,5.391,5.436,5.945,4.282,5.264,6.718,5.618,5.526,1.368,7.909,2.091,10.0,5.414,5.223,6.055,5.527,6.17,74.318,60.0,0.839,5.204,11,66
SAGRAT COR-SARRIÀ,2015,10.928,6.08,4.6,3.74,5.46,3.62,4.075,4.875,6.533,5.75,4.7,4.758,1.838,6.2,2.6,8.8,4.72,4.46,5.03,3.85,4.423,60.0,39.0,0.626,3.142,5,113
ESCOLA PIA D'IGUALADA,2010,10.608,5.25,5.8,4.7,4.35,5.75,5.0,6.35,5.75,5.9,5.55,5.44,1.235,6.0,4.0,10.0,5.6,5.225,5.125,5.65,6.445,92.25,60.0,0.741,4.922,2,84
ESCOLA PIA D'IGUALADA,2011,9.638,1.9,2.2,3.2,0.7,0.2,,,,1.8,,1.67,1.08,0.0,6.0,6.0,2.05,3.2,1.25,0.2,1.085,64.5,0.0,0.0,0.0,1,171
ESCOLA PIA D'IGUALADA,2012,11.443,5.443,4.843,4.843,5.514,4.886,5.383,4.971,5.071,5.071,4.6,5.0,1.11,7.286,2.429,9.714,5.083,4.957,5.293,4.507,5.066,69.214,49.5,0.743,4.251,7,130
ESCOLA PIA D'IGUALADA,2015,11.558,5.6,5.65,5.25,6.55,4.5,4.5,5.0,6.35,5.0,5.0,5.32,1.195,6.0,2.5,8.5,5.062,5.8,6.2,4.375,4.96,60.0,42.0,0.7,3.718,2,85
BETÀNIA-PATMOS,2010,11.206,5.85,6.892,5.75,5.867,4.408,6.882,6.7,6.236,5.858,5.4,5.84,1.394,7.417,2.25,9.667,6.392,5.821,5.862,4.721,6.347,75.0,54.125,0.759,5.259,12,71
BETÀNIA-PATMOS,2011,10.715,5.97,7.0,5.48,4.94,5.22,5.68,5.96,4.78,4.46,5.74,5.523,1.551,7.8,2.2,10.0,6.152,5.13,4.7,5.48,6.205,77.7,60.0,0.8,5.048,10,98
BETÀNIA-PATMOS,2012,10.98,4.325,4.9,5.525,5.625,4.3,4.55,4.35,4.725,5.675,5.275,4.925,1.598,6.0,4.0,10.0,4.531,5.125,5.65,4.788,5.882,81.0,55.875,0.73,4.382,4,120
