AC_YEAR,TYPE,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,RANKING,NUM_STUD,TOTAL_STUD,%
2010,Privat,10.911,5.076,5.462,5.369,5.892,4.801,5.363,5.468,4.724,5.595,5.269,5.2,1.355,6.858,2.801,9.659,5.2,4.996,5.676,4.938,5.773,77.253,54.758,0.739,4.583,94.862,330,429,76.923
2010,Públic,10.775,5.437,5.64,5.47,6.094,5.379,5.28,5.675,4.737,6.01,5.691,5.503,1.356,7.305,2.576,9.881,5.465,5.084,5.998,5.489,6.138,77.736,57.45,0.783,5.025,83.2,98,429,22.844
2011,Privat,10.942,5.587,6.143,5.191,5.142,5.39,5.834,5.936,5.475,6.23,5.971,5.61,1.27,7.615,2.162,9.777,5.8,5.273,5.595,5.598,6.008,72.621,55.525,0.795,5.092,86.56,278,375,74.133
2011,Públic,10.682,5.391,5.539,4.784,4.764,5.372,6.0,6.118,5.149,6.386,6.008,5.321,1.243,7.054,2.35,9.404,5.52,4.782,5.301,5.497,5.658,69.252,51.527,0.744,4.742,90.333,97,375,25.867
2012,Privat,11.336,5.523,5.122,5.008,5.552,5.093,5.129,4.755,5.194,5.902,5.026,5.167,1.351,6.854,2.881,9.735,5.056,5.044,5.669,5.019,5.793,77.495,55.89,0.749,4.572,103.883,285,405,70.37
2012,Públic,11.3,5.406,5.162,5.11,5.658,5.514,5.054,4.663,4.959,6.082,5.25,5.214,1.384,6.825,2.877,9.702,5.035,4.959,5.785,5.261,5.865,76.317,55.525,0.761,4.69,97.112,119,405,29.383
2013,Privat,11.208,4.831,5.075,5.897,6.281,5.747,5.647,5.046,4.736,5.09,5.564,5.314,1.316,6.608,3.06,9.668,5.05,5.272,5.624,5.576,5.839,77.056,53.95,0.728,4.6,99.742,251,374,67.112
2013,Públic,11.184,4.801,5.22,5.726,6.55,6.064,5.465,4.835,4.757,5.377,5.802,5.364,1.385,7.077,2.587,9.664,4.95,5.184,5.868,5.853,5.874,74.564,54.826,0.76,4.802,89.578,122,374,32.62
2014,Privat,10.888,5.329,4.855,4.866,5.414,5.679,4.735,4.386,4.837,5.608,5.29,5.026,1.38,6.461,3.244,9.705,4.774,4.775,5.397,5.412,5.711,77.602,53.611,0.717,4.42,94.269,298,402,74.129
2014,Públic,10.878,5.549,4.908,5.202,5.807,6.443,4.876,4.443,4.844,5.763,6.205,5.33,1.422,7.061,2.643,9.705,4.878,4.945,5.662,6.263,5.911,72.743,54.305,0.767,4.866,81.809,101,402,25.124
2015,Privat,11.235,5.961,4.985,4.586,5.702,5.168,4.19,4.126,4.662,5.378,5.264,4.867,1.575,5.75,3.357,9.107,4.728,4.469,5.308,5.018,4.873,61.187,39.128,0.633,3.525,101.44,276,385,71.688
2015,Públic,11.038,6.214,4.639,4.598,5.81,5.429,4.011,4.149,4.234,5.573,5.664,4.945,1.673,5.752,3.492,9.245,4.686,4.355,5.468,5.365,4.956,60.786,38.859,0.637,3.541,100.224,109,385,28.312
