EXPEDIENT_CODE,GENDER,AC_YEAR,AC_GRADE,HSCHOOL,HS_CODE
226441,H,2010,9.852,SAGRAT COR-SARRIÀ,08034
226455,H,2010,10.642,ESCOLA PIA D'IGUALADA,08700
226463,H,2010,10.004,BETÀNIA-PATMOS,08034
226464,H,2010,10.916,"CERVETO, ESCOLA",08401
226467,H,2010,11.686,"SUNION, INST.CULTURAL CATALANA",08023
226472,D,2010,11.792,SANT IGNASI- SARRIÀ,08017
226494,H,2010,11.028,INST.ICÀRIA,08005
226495,D,2010,10.47,ESCOLA PIA DE NOSTRA SENYORA,08007
226499,H,2010,10.1,LA SALLE HORTA,08031
226515,D,2010,12.126,INST.BAIX MONTSENY,08470
226543,D,2010,11.938,"CERVETO, ESCOLA",08401
226635,H,2010,10.96,XALOC,08902
226648,H,2010,10.446,MARISTES LES CORTS,08014
226679,H,2010,10.446,INST.SANT RAMON,08261
226680,D,2010,12.624,CANIGÓ,08022
226684,H,2010,10.186,"CERVETO, ESCOLA",08401
226685,H,2010,11.19,"BADALONÈS, COL.LEGI",08912
226687,H,2010,10.012,SANT IGNASI- SARRIÀ,08017
226717,D,2010,10.558,SAGRADA FAMÍLIA - ARQUIMIDES,08030
226738,H,2010,10.432,VIARÓ,08173
226798,D,2010,10.798,SAGRADA FAMÍLIA-GAVÀ,08850
226818,H,2010,12.65,IPSE,08036
226888,D,2010,9.842,INST.ELS TRES TURONS,08350
226950,H,2010,11.842,CASA DEL ROURE,08017
226994,H,2010,10.568,SANT JOSEP OBRER,08906
227006,D,2010,12.128,INST.MONTJUÏC,08038
227008,H,2010,10.44,INST.JAUME BALMES,08009
227012,H,2010,11.202,INST.JAUME BALMES,08009
227018,H,2010,10.312,ESCOLA PIA DE NOSTRA SENYORA,08007
227021,H,2010,11.182,ESCOLA PIA DE NOSTRA SENYORA,08007
227027,H,2010,11.166,INST.CASTELLBISBAL,08755
227032,H,2010,10.906,ESCOLA PIA DE SARRIA,08017
227034,H,2010,12.188,ESCOLA PIA DE SARRIA,08017
227036,H,2010,11.078,BETÀNIA-PATMOS,08034
227040,D,2010,10.52,ESCOLA PIA SANT ANTONI,08001
227045,H,2010,10.334,TECLA SALA,08901
227047,H,2010,12.6,TECLA SALA,08901
227048,D,2010,11.334,TECLA SALA,08901
227057,H,2010,10.604,INST.JAUME BALMES,08009
227073,H,2010,9.882,LA SALLE BONANOVA,08022
227082,H,2010,11.008,INST.MANOLO HUGUÉ,08140
227087,H,2010,11.76,INST.CELESTÍ BELLERA,08402
227091,H,2010,10.1,BETÀNIA-PATMOS,08034
227092,H,2010,10.792,BETÀNIA-PATMOS,08034
227094,D,2010,12.048,BETÀNIA-PATMOS,08034
227095,H,2010,10.654,BETÀNIA-PATMOS,08034
227096,H,2010,12.13,BETÀNIA-PATMOS,08034
227098,H,2010,10.73,BETÀNIA-PATMOS,08034
227121,H,2010,11.532,INSTITUCIO CULTURAL DEL CIC,08021
227123,H,2010,10.618,INSTITUCIO CULTURAL DEL CIC,08021
227125,H,2010,10.134,INSTITUCIO CULTURAL DEL CIC,08021
227128,H,2010,10.008,LA SALLE BONANOVA,08022
227129,H,2010,9.894,LA SALLE BONANOVA,08022
227132,H,2010,10.398,LA SALLE BONANOVA,08022
227133,H,2010,12.302,LA SALLE BONANOVA,08022
227142,D,2010,12.12,INFANT JESÚS,08006
227178,H,2010,10.36,CARDENAL SPíNOLA-ABAT OLIBA,08024
227182,H,2010,9.804,INST.PAU CASALS,08917
227199,H,2010,10.42,SANT IGNASI- SARRIÀ,08017
227200,D,2010,10.874,INFANT JESÚS,08006
227207,H,2010,11.2,SAGRAT COR-SARRIÀ,08034
227213,H,2010,11.384,INST.LA LLAUNA,08912
227215,H,2010,10.218,INST.LA LLAUNA,08912
227231,H,2010,11.378,CLARET-BARCELONA,08025
227260,H,2010,10.69,MARISTES CHAMPAGNAT,08912
227261,D,2010,11.66,SAGRAT COR-SARRIÀ,08034
227264,H,2010,10.39,SAGRAT COR-SARRIÀ,08034
227284,H,2010,10.052,INST.FRANCISCO DE GOYA,08041
227285,H,2010,9.83,INST.FRANCISCO DE GOYA,08041
227286,H,2010,10.048,"SANT JOAN BOSCO, COL·LEGI",08035
227289,D,2010,10.204,"SANT JOAN BOSCO, COL·LEGI",08035
227290,D,2010,9.812,ESCOLA PIA BALMES,08006
227296,H,2010,10.942,BIENAVENTURADA VIRGEN MARÍA,08006
227298,H,2010,10.524,SANT IGNASI- SARRIÀ,08017
227300,H,2010,11.544,SANT IGNASI- SARRIÀ,08017
227301,H,2010,10.62,SANT IGNASI- SARRIÀ,08017
227302,D,2010,10.46,SANT IGNASI- SARRIÀ,08017
227303,H,2010,10.154,SANT IGNASI- SARRIÀ,08017
227304,H,2010,10.076,SANT IGNASI- SARRIÀ,08017
227307,H,2010,11.522,JESUS I MARIA - SANT GERVASI,08022
227309,H,2010,12.496,JESUS I MARIA - SANT GERVASI,08022
227320,H,2010,10.706,"BADALONÈS, COL.LEGI",08912
227326,H,2010,10.55,ESCORIAL,08500
227327,H,2010,10.928,ESCORIAL,08500
227328,H,2010,12.328,ESCORIAL,08500
227332,H,2010,9.786,ESCORIAL,08500
227334,H,2010,11.928,SANT MIQUEL DELS SANTS,08500
227338,H,2010,10.518,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
227341,D,2010,12.244,FREDERIC MISTRAL-TÈCNIC EULÀLI,08034
227351,H,2010,12.396,IPSE,08036
227355,H,2010,10.508,SHALOM,08008
227363,H,2010,11.496,"BADALONÈS, COL.LEGI",08912
227365,H,2010,12.694,"BADALONÈS, COL.LEGI",08912
227369,H,2010,9.77,JESUS I MARIA - SANT GERVASI,08022
227383,H,2010,12.092,INST.ERNEST LLUCH,08015
227406,H,2010,10.106,AGORA SANT CUGAT IS,08174
227409,D,2010,10.904,SANT IGNASI- SARRIÀ,08017
